Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
216,Cat Quest,PQube,The Gentlebros,N/A,N/A,N/A,N/A,09th Oct 18,10th May 20
217,Minna de Wai Wai! Spelunker,Square Enix,Square Enix,N/A,N/A,N/A,N/A,20th Apr 17,04th Feb 18
218,Dragon Quest X: All in One Package,Square Enix,Square Enix,N/A,N/A,N/A,N/A,21st Sep 17,15th Sep 18
219,Sine Mora EX,THQ Nordic,Digital Reality,N/A,8.0,N/A,N/A,26th Sep 17,15th Aug 18
220,Atari Flashback Classics: Volume 1,Atari,Atari,N/A,N/A,N/A,N/A,13th Dec 18,13th Mar 18
221,Okami HD,Capcom,Capcom,N/A,N/A,10.0,N/A,09th Aug 18,09th Mar 18
222,SD Gundam G Generation Genesis,Bandai Namco Games,Bandai Namco,N/A,N/A,N/A,N/A,26th Apr 18,16th Jan 18
223,"Monster Boy and the Cursed Kingdom
Read the review",FDG Entertainment,Game Atelier,8.0,8.0,9.5,N/A,06th Nov 18,17th Dec 18
224,"Blade Strangers
Read the review",Nicalis,Studio Saizensen,7.0,8.3,N/A,N/A,28th Aug 18,28th Jul 18
225,Snow Moto Racing Freedom,Big Ben Interactive,Bigben Interactive,N/A,N/A,N/A,N/A,27th Mar 18,05th Mar 19
226,Monster Energy Supercross - The Official Videogame,Milestone S.r.l.,Milestone S.r.l.,N/A,N/A,N/A,N/A,13th Feb 18,23rd Mar 18
227,Let's Sing 2019,Ravenscourt,Ravenscourt,N/A,N/A,N/A,N/A,26th Oct 18,02nd Dec 18
228,Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy DX,Level 5,Level 5,N/A,N/A,N/A,N/A,08th Nov 19,10th Jul 19
229,Salt and Sanctuary,Leadman Games,Ska Studios,N/A,N/A,N/A,N/A,11th Dec 18,07th Aug 18
230,"Code of  Princess EX
Read the review",Nicalis,Studio Saizensen,6.0,7.2,N/A,N/A,31st Jul 18,08th Mar 18
231,Naruto Shippuden: Ultimate Ninja Storm Trilogy,Bandai Namco Games,CyberConnect2,N/A,7.5,N/A,N/A,26th Apr 18,20th May 18
232,Aqua Moto Racing Utopia,Big Ben Interactive,Bigben Interactive,N/A,N/A,N/A,N/A,27th Mar 18,17th Mar 19
233,Flashback,Maximum Games,Paul Cuisset,N/A,N/A,N/A,N/A,20th Nov 18,17th Mar 19
234,de Blob 2,THQ Nordic,THQ Nordic,N/A,N/A,N/A,N/A,28th Aug 18,14th Feb 18
235,SUPERBEAT: XONiC,PM Studios,Nurijoy,N/A,N/A,N/A,N/A,21st Nov 17,20th Sep 18
236,Darkest Dungeon,Merge Games,Red Hook Studios,N/A,N/A,N/A,N/A,24th Apr 18,18th Jan 18
237,Sumikko Gurashi Atsumare Sumikko Town,Nippon Columbia,Nippon Columbia,N/A,N/A,N/A,N/A,04th Oct 18,05th Jul 18
238,Mega Man X Legacy Collection 1+2,Capcom,Capcom,N/A,N/A,N/A,N/A,24th Jul 18,27th May 18
239,Nobunaga's Ambition: Sphere of Influence with Power-Up Kit,Tecmo Koei,Koei,N/A,N/A,N/A,N/A,03rd Mar 17,29th Dec 18
240,Adventure Time: Pirates of the Enchiridion,Outright Games,Outright Games,N/A,N/A,N/A,N/A,17th Jul 18,17th Mar 19
241,Angelique Luminarise,Koei Tecmo,Ruby Party,N/A,N/A,N/A,0.03m,20th May 21,27th Jul 21
242,Haruka: Beyond the Stream of Time 7,Unknown,Koei Tecmo Games,N/A,N/A,N/A,0.03m,N/A,07th Feb 21
243,Kamen Rider: Climax Scramble Zi-O,Bandai Namco Games,Bandai Namco Games,N/A,N/A,N/A,N/A,29th Nov 18,05th Jan 19
244,Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,Tecmo Koei,Gust,N/A,N/A,N/A,N/A,27th Mar 18,10th Feb 18
245,Dragon Quest X: All in One Package Ver.1-4,Square Enix,Square Enix,N/A,N/A,N/A,N/A,26th Jul 18,15th Sep 18
246,Penny-Punching Princess,NIS America,Nippon Ichi Software,N/A,6.5,9.0,N/A,03rd Apr 18,07th Apr 18
247,Let's Sing 2018,Koch Media,Ravenscourt,N/A,N/A,N/A,N/A,24th Nov 17,10th Jan 18
248,The Longest 5 Minutes,NIS America,Nippon Ichi Software,N/A,N/A,N/A,N/A,13th Feb 18,11th Jan 18
249,"SNK 40th Anniversary Collection
Read the review",NIS America,SNK Corporation,7.0,N/A,7.5,N/A,13th Nov 18,06th Nov 18
250,Yonder: The Cloud Catcher Chronicles,Merge Games,Prideful Sloth,N/A,N/A,N/A,N/A,12th Jun 18,18th Mar 18
251,The Town of Light,Wired Productions,Unknown,N/A,N/A,N/A,N/A,01st Jan 18,24th Apr 18
252,"The Lost Child
Read the review",NIS America,Crim,5.0,7.5,N/A,N/A,19th Jun 18,20th Sep 18
253,God Wars The Complete Legend,NIS America,Kadokawa Games,N/A,N/A,N/A,N/A,04th Sep 18,17th Mar 19
254,Death Mark,Aksys Games,Experience Inc.,N/A,N/A,N/A,N/A,31st Oct 18,17th Mar 19
