Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
81,LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,Traveller's Tales,N/A,N/A,N/A,N/A,14th Nov 17,11th Feb 18
82,LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,N/A,8.0,N/A,N/A,04th Apr 17,24th Feb 18
83,LEGO The Incredibles,Warner Bros. Interactive Entertainment,Traveller's Tales,N/A,6.5,N/A,N/A,15th Jun 18,06th Nov 18
84,LEGO Worlds,Warner Bros. Interactive Entertainment,Traveller's Tales,N/A,5.0,N/A,N/A,05th Sep 17,25th Feb 18
85,Ultra Street Fighter II: The Final Challengers,Capcom,Capcom,N/A,7.0,N/A,N/A,26th May 17,04th Jan 18
86,Starlink: Battle for Atlas,Ubisoft,Ubisoft Toronto,N/A,7.5,6.0,N/A,16th Oct 18,22nd Mar 19
87,Fire Emblem Warriors,Nintendo,Omega Force,N/A,7.3,9.6,N/A,20th Oct 17,03rd Aug 20
88,Fishing Spirits,Bandai Namco Games,Bandai Namco Games,N/A,N/A,N/A,0.50m,25th Jul 19,08th Jul 20
89,Rune Factory 5,Marvelous Entertainment,Xseed Games,N/A,N/A,N/A,0.50m,22nd Mar 22,13th Feb 19
90,Sonic Mania,Sega,PagodaWest Games,N/A,8.8,N/A,N/A,15th Aug 17,23rd Dec 17
91,Minecraft: Story Mode - The Complete Adventure,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,22nd Aug 17,07th Aug 18
92,"Hyrule Warriors: Definitive Edition
Read the review",Nintendo,Omega Force,7.0,8.0,N/A,N/A,18th May 18,30th Dec 19
93,L.A. Noire,Rockstar Games,Team Bondi,N/A,7.9,8.0,N/A,14th Nov 17,19th Jun 18
94,LEGO DC Super-Villains,Warner Bros. Interactive Entertainment,Traveller's Tales,N/A,7.8,N/A,N/A,16th Oct 18,04th Jun 18
95,NBA 2K18,2K Sports,Visual Concepts,N/A,7.5,N/A,N/A,19th Sep 17,05th Jan 18
96,Doom (2016),Bethesda Softworks,id Software,N/A,8.2,9.1,N/A,10th Nov 17,05th Jan 18
97,Nintendo Labo: Toy-Con 03 Vehicle Kit,Nintendo,Nintendo EPD,N/A,7.0,N/A,N/A,14th Sep 18,19th Nov 18
98,Rocket League,505 Games,Psyonix Studios,N/A,9.2,N/A,N/A,16th Jan 18,04th Apr 18
