rota;tipologia;sentido;percurso;bairros;extensao;inauguracao
Ciclofaixa Professor José dos Anjos;Ciclofaixa e Ciclovia;Unidirecional e Bidirecional;Av. Professor José dos Anjos (Início Rua Euclides Gomes de Freitas até a Rua Farias Neves), continuidade até a Rua Manoel Brandão.;Mangabeira, Tamarineira, Arruda, Ponto de Parada, Campo Grande, Peixinhos, Campina do Barreto e Rosarinho;8,0;2019
Rota Othon Paraíso;Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Pista Local da Av. Gov. Agamenon Magalhães, Rua Othon Paraíso, Rua Marechal Deodoro, Rua Paulo de Arruda e Rua Prudente de Moraes. Rua Castro Alves. Rua Dona Elvira e Rua Antônio Rangel. ;Torreão, Campo Grande, Hipódromo e Encruzilhada;4,0;2019
Ciclofaixa Visconde de Jequitinhonha (1a etapa);Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua Visconde de Jequitinhonha, Rua Baltazar Passos e Rua Setúbal, Dona Lindu.;Boa Viagem;1,0;2019
Rota Professor João Medeiros;Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua Professor Arnaldo Carneiro Leão, Rua General Edson Amâncio Ramalho e Av. Professor João Medeiros até a Delegacia de Boa Viagem.;Boa Viagem;2,0;2019
Ciclofaixa Maurício de Nassau;Ciclofaixa;Bidirecional;Rua Dr. João Lacerda, Av. Maurício de Nassau, Rua Nossa Senhora da Saúde e Av. Inácio Monteiro;Cordeiro e Iputinga;3,0;2019
Rota Afonso Olindense;Ciclofaixa, Ciclorrota e Área Compartilhada;Bidirecional;Av. Afonso Olindense, Praça Pinto Damásio, Rua Azeredo Coutinho, Rua Francisco Lacerda e Rua João Francisco Lisboa. Rua Acadêmico Hélio Ramos e Av. Prof. Luiz Freire.;Várzea e Cidade Universitária;6,0;2019
Ciclovia Jornalista Graça Araújo (1a etapa);Ciclovia;Bidirecional;Av. Mário Melo e Rua dos Palmares.;Santo Amaro;2,8;2019
Rota Ilha do Leite;Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua Francisco Alves, Praça Miguel de Cervantes, Rua Estado do Israel, Rua Jornalista Trajano Chacon, Rua Frei Matias Tevis, Rua Senador José Henrique, Rua Antônio Gomes de Freitas.;Ilha do Leite e Coelhos;2,62;2019
Zona 30 - Ilha do Leite;Área Compartilhada;-;Área entre a Rua Estado de Israel e Rua Frei Matias Teves, da Rua Jornalista Trajano Chacon e Rua Antônio Gomes de Freitas. (É um poligono com 6 vias).;Ilha do Leite;1.090m²;2019
Ciclofaixa Visconde de Jequitinhonha (2a etapa);Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua Visconde de Jequitinhonha, a partir da Rua João Cardoso Aires, até a Rua José Paraíso, Rua José Domingues da Silva, Rua Feliciano José de Farias, Rua Dona Uzinha Nunes e Rua Padre Cabral. O outro trecho seguirá pela Rua Visconde de Jequitinhonha, a partir da Rua Armindo Moura, até o limite com o município de Jaboatão dos Guararapes.;Boa Viagem;3,7;2019
Rota Setúbal (2a etapa);Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Av. Vinte de Janeiro, Rua Camboim, Rua João Cardoso Aires, Rua Waldemar Nery Carneiro Monteiro, Rua Prof. Aurélio de Castro Cavalcanti, Av. Mal. Juarez Távora até a Av. Lino Jordão.;Boa Viagem;2,5;2019
Ciclofaixa Boa Vista (1a etapa);Ciclofaixa;Bidirecional;Rua da Aurora.;Boa Vista e Santo Amaro;0,4;2019
Rota Josias de Albuquerque (1a etapa);Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Pista local da Avenida Governador Agamenon Magalhães, Rua Frei Cassimiro, Rua do Pombal, Rua Treze de Maio, Rua Tupinambás, Rua Barros Barreto, Rua Pedro Afonso, Rua Doutor João Vieira de Menezes, Rua Araripina até a Rua da Aurora. Rua Coelho Leite, Rua do Veiga e Rua Fundição.;Santo Amaro;6,8;2019
Ciclovia Jornalista Graça Araújo (2a etapa);Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua dos Palmares, após o término da Ciclovia Graça Araújo e seguirá à direita na mesma via para acessar a Rua Álvares de Azevedo, Rua Dr. Leopoldo Lins, Av. Montevidéu até Rua Buenos Aires. Rua Monte Castelo, faixa de retorno da Av. João de Barros.;Santo Amaro e Boa Vista;1,4;2019
Ciclofaixa Boa Vista (2a etapa);Ciclofaixa e Ciclorrota;Bidirecional;Rua João Fernandes Vieira, Av. Oliveira Lima e Rua do Riachuelo.;Boa Vista e Soledade;1,6;2019
Ciclovia Ibura;Ciclovia;Bidirecional;Canal Rio da Prata, com início na Av. Dois Rios e término na Rua Rio Douro.;Ibura;1,0;2020
Ciclofaixa Boa Vista (3a etapa);Ciclofaixa e Área Compartilhada;Unidirecional e Bidirecional;Rua Bispo Cardoso Ayres e Beco do Estudante. Rua João Fernandes Vieira até a Av. Montevidéu e Rua Joaquim Felipe e Av. João de Barros até a Rua Monte Castelo.;Boa Vista, Santo Amaro e Soledade;2,4;2020
Rota Geraldão;Ciclofaixa, Ciclorrota e Área Compartilhada;Bidirecional;Av. Sen. Robert Kennedy, Rua Dr. Tavares Correia, Rua Allan Kardec, Rua Jornalista Cleófas de Oliveira, Rua Jalisco, Geraldão, Av. Sul Gov. Cid Sampaio para ligar a ciclofaixa a Estação Antônio Falcão e a Estação Shopping Recife, Rua Soldado Sinésio de Aragão até a Av. Dom João VI.;Imbiribeira e Ipsep;3,2;2020
Rota Sebastião Salazar;Ciclorrota e Ciclofaixa;Bidirecional;Rua Manoel Brandão, Rua dos Craveiros, Rua Sebastião Salazar, Rua Dr. Alberto Wanderley, Rua Arão Botler até o final da Av. Cidade do Monteiro.;Cajueiro, Campina do Barreto e Porto da Madeira;1,9;2020
Ciclofaixa Júlio César;Ciclofaixa;Bidirecional;Av. Júlio César da Av. Maria Irene até acesso a Av. Centenário Albert Santos Dumont.;Jordão;1,5;2020
Ciclofaixa Pinheiros ;Ciclofaixa;Bidirecional;Av. Pinheiros, Rua Amélia Xavier Sampaio, Rua Eng. José Brandão Cavalcante e Av. Eng. Alves de Souza.;Imbiribeira;2,0;2020
Ciclofaixa Historiador Jordão Emerenciano;Ciclofaixa;Unidirecional e Bidirecional;Av. Luiz de Lacerda, Av. Historiador Jordão Emerenciano e Rua Ministro João Alberto.;Iputinga e Caxangá;1,8;2020
Rota Parque Macaxeira ;Ciclofaixa, Ciclorrota e Área Compartilhada;Unidirecional;Av. José Américo de Almeida, Rua Cel. João Batista do Rego Barros e a Rua de Apipucos.;Apipucos e Macaxeira;2,8;2020
Ciclofaixa Beberibe;Ciclofaixa;Unidirecional e Bidirecional;Estrada Velha de Água Fria, Rua São Bento, Rua Alegre, Rua da Regeneração e Avenida Beberibe.;Água Fria, Arruda e Bomba do Hemetério;2,2;2020
Rota Parque Caiara;Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Parque Caiara, Travessa Dr. José Anastácio da Silva Guimarães, Rua Dr. José Anastácio da Silva Guimarães, Rua Leal de Barros, Rua São Mateus, Rua Simonésia, Av. Jornalista Possidônio Cavalcanti Bastos, Rua Maria de Fátima Soares e volta para Rua Leal de Barros. Rua Desembargador Oscar Coutinho.;Iputinga;3,5;2020
Ciclofaixa Ferreira Lopes e Paula Batista;Ciclofaixa;Unidirecional e Bidirecional;Rua Ferreira Lopes e Rua Paula Batista.;Parnamirim e Casa Amarela;1,0;2020
Ciclofaixa Rosarinho;Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua Salvador de Sá, Rua Couto Magalhães, Rua Treze de Junho, Rua Gen. Abreu e Lima, Rua Dr. José Maria, Rua Simão Mendes, Rua Hoel Sette e Rua Neto de Mendonça.;Rosarinho, Tamarineira e Jaqueira;2,0;2020
Rota Othon Paraíso (2a etapa);Ciclofaixa, Ciclorrota e Área Compartilhada;Unidirecional e Bidirecional;Pista Local Av. Gov. Agamenon Magalhães (ambos os lados).;Santo Amaro e Torreão;1,0;2020
Ciclofaixa Paris;Ciclofaixa;Bidirecional;Rua Arquiteto Luiz Nunes, Rua Paris, Rua Jean Émile Favre e Rua Itacari.;Imbiribeira;2,3;2020
Ciclofaixa Boa Vista (4a etapa);Ciclofaixa;Bidirecional;Rua José de Alencar.;Boa Vista, Ilha do Leite e Coelhos;1,0;2020
Rota Joana Bezerra;Ciclofaixa, Ciclovia e Ciclorrota;Bidirecional e Unidirecional;Rua dos Coelhos, Ponte Joaquim Cardoso, Av. Beira Rio, Av. Desembargador Guerra Barreto, Ponte Gregório Bezerra, Rua Dr. Joaquim dos Santos, Av. Prefeito Lima de Castro, Praça da Bandeira, Rua Benfica, Av. Desembargador Otílio Neiva, Av. Agostinho Gomes, Av. Central, Rua Urubici, Rua Ibipora.;Coelhos, Ilha Joana Bezerra, Ilha do Retiro, Madalena;4,5;2020
Ciclofaixa Correia de Brito;Ciclofaixa;Bidirecional;Rua Marquês de Abrantes, Av. Correia de Brito e Av. Prof. José dos Anjos até a Rua Farias Neves.;Campo Grande;2,6;2020
